# mmm njik,
000 0
010 3
020 0
031 0
041 0
051 0
062 4
072 8
082 0
100 8
110 9
120 2
131 0
141 0
151 6
162 0
172 0
182 0
200 0
210 0
220 0
231 8
241 0
251 5
262 3
272 6
282 0
303 0
313 0
323 0
334 0
344 0
354 5
365 0
375 0
385 0
403 0
413 0
423 0
434 6
444 9
454 4
465 0
475 0
485 3
503 0
513 0
523 0
534 0
544 0
554 0
565 1
575 4
585 8
606 0
616 0
626 3
637 0
647 0
657 2
668 0
678 7
688 4
706 0
716 0
726 0	
737 0
747 0
757 0
768 0
778 0
788 0
806 0
816 0
826 0
837 0
847 0
857 0
868 0
878 0
888 0
